,date,juliandate,NMraw,mag3,mag4,mag5,mag9,mag10,mag17,mag19,mag20,merr1,offset,std,NMcal
171,60509,2453865.5257200003,22.844,19.264,19.765,21.643,19.46,18.622,20.787,19.755,20.765,0.078,3.9538749999999996,0.007491662031912981,18.890125
172,60510,2453866.53382,22.595,19.250999999999998,19.766,21.614,19.463,18.615,20.775,19.757,20.732,0.067,3.9428749999999986,0.013086934597106907,18.652125
173,60511,2453867.49417,22.557,19.273,19.773,21.634,19.463,18.624000000000002,20.759,19.762999999999998,20.761999999999997,0.075,3.9526249999999994,0.016115099396885133,18.604374999999997
174,70402,2454193.64965,22.733,19.514,19.997,21.962,19.722,18.861,21.078000000000003,20.021,20.99,0.07400000000000001,4.214375,0.027892331255239218,18.518625
175,70403,2454194.6581,22.866999999999997,19.509,19.988,21.951,19.713,18.862000000000002,21.011999999999997,20.022000000000002,20.987,0.081,4.20175,0.02675684158169335,18.665249999999997
176,70405,2454196.72851,22.318,19.188,19.685,21.498,19.383,18.539,20.746,19.694000000000003,20.649,0.071,3.8689999999999993,0.02944243778736912,18.449
177,70406,2454197.73945,22.713,19.155,19.656,21.546999999999997,19.35,18.502,20.709,19.637,20.66,0.071,3.8482499999999993,0.01463606114067098,18.86475
178,70407,2454198.68701,22.49,19.137999999999998,19.654,21.568,19.331,18.500999999999998,20.649,19.668,20.655,0.057999999999999996,3.8417499999999998,0.023026382384330666,18.648249999999997
179,70408,2454199.67778,23.756999999999998,19.729,20.208,22.209,19.932000000000002,19.079,21.275,20.242,21.24,0.132,4.435499999999999,0.03569313659519478,19.3215
180,70409,2454200.64515,22.761999999999997,19.539,20.03,21.928,19.730999999999998,,21.118000000000002,20.047,21.048000000000002,0.051,4.240142857142858,0.01872100933386939,18.52185714285714
181,70411,2454202.65897,23.000999999999998,19.531,20.032,21.956999999999997,19.748,18.899,21.005,20.043,21.024,0.07,4.226125,0.028457675339175384,18.774874999999998
182,70412,2454203.6105400003,22.416,19.151,19.659000000000002,21.585,19.351,18.502,20.713,19.683,20.671,0.053,3.860625,0.021340354127259497,18.555375
183,70414,2454205.6765400004,22.325,19.179000000000002,19.688,21.57,19.375,18.532,20.719,19.695,20.659000000000002,0.037000000000000005,3.8733750000000002,0.011018653015942109,18.451625
184,70417,2454208.68727,22.201,19.163,19.666,21.595,19.366,18.524,20.68,19.678,20.682,0.039,3.865499999999999,0.02024140029047593,18.335500000000003
185,70418,2454209.66951,23.406,20.058,20.555999999999997,22.555999999999997,20.249000000000002,19.419,21.671,20.59,21.557,0.08800000000000001,4.778249999999999,0.0458935102788567,18.62775
186,70419,2454210.67368,22.678,19.305,19.816,21.733,19.500999999999998,18.660999999999998,20.83,19.84,20.855999999999998,0.057999999999999996,4.0139999999999985,0.026349301969631696,18.664
187,70421,2454212.70377,22.386999999999997,19.245,19.758,21.691999999999997,19.451,,20.81,19.774,20.791,0.053,3.9658571428571423,0.024463773021977973,18.421142857142854
188,70424,2454215.65571,22.386,19.195,19.705,21.593000000000004,19.407,18.567,20.733,19.722,20.686999999999998,0.052000000000000005,3.897375,0.009132946637655077,18.488625
189,70425,2454216.55635,22.554000000000002,19.16,19.655,21.538,19.355,18.51,20.69,19.683,20.655,0.051,3.852,0.009827076298539366,18.702
190,70426,2454217.58845,22.478,19.160999999999998,19.657,21.579,19.352999999999998,18.504,20.693,19.683,20.648000000000003,0.059000000000000004,3.8559999999999994,0.017443787269138065,18.622000000000003
191,70427,2454218.56117,22.447,19.185,19.683,21.543000000000003,19.38,18.53,20.737,19.711,20.683000000000003,0.059000000000000004,3.87775,0.016739602316461856,18.56925
