,date,juliandate,NMraw,mag3,mag4,mag9,mag10,mag17,mag19,mag20,merr1,offset,std,NMcal
344,120423,2456041.6084,22.365,19.436,19.884,19.186,18.675,20.568,19.558,20.933000000000003,0.044000000000000004,2.7185714285714293,0.017203266577957163,19.64642857142857
345,120430,2456048.57656,22.49,19.408,19.854,19.166,18.643,20.558000000000003,19.524,20.88,0.07,2.6890000000000005,0.009291573243173751,19.801
346,120503,2456051.56025,22.409000000000002,19.505,19.989,19.279,18.77,20.664,19.659000000000002,21.045,0.12,2.814428571428572,0.023279870724574322,19.59457142857143
347,120506,2456054.55441,22.863000000000003,19.747,20.195999999999998,19.528,19.02,20.877,19.899,21.42,0.23199999999999998,3.0681428571428566,0.07498317271544597,19.794857142857147
348,120509,2456057.50929,22.486,19.365,19.826,19.137999999999998,18.621,20.526,19.500999999999998,20.848000000000003,0.04,2.6592857142857134,0.009340133577147297,19.82671428571429
349,120512,2456060.54598,22.291999999999998,19.413,19.858,19.166,18.647000000000002,20.553,19.533,20.861,0.033,2.6887142857142865,0.012944938337897565,19.60328571428571
350,120513,2456061.5321299997,22.320999999999998,19.425,19.872,19.180999999999997,18.663,20.565,19.547,20.894000000000002,0.035,2.7052857142857145,0.01090434600996384,19.615714285714283
351,120516,2456064.55111,22.647,19.539,19.977999999999998,19.292,18.775,20.673000000000002,19.662,21.021,0.049,2.8185714285714285,0.012998168369164861,19.82842857142857
352,120519,2456067.53081,21.996,19.4,19.852999999999998,19.160999999999998,18.641,20.545,19.528,20.881999999999998,0.028999999999999998,2.685714285714284,0.010451702982666731,19.310285714285715
353,120522,2456070.59905,22.291,19.448,19.887999999999998,19.202,18.688,20.603,19.573,20.941999999999997,0.035,2.733428571428571,0.01029331729575851,19.55757142857143
354,120530,2456078.51848,22.35,19.407,19.855,19.162,18.654,20.588,19.535999999999998,20.885,0.061,2.6967142857142856,0.007341986237014781,19.653285714285715
